album,title,youtube_id
A Hard Day's Night,You Can't Do That,6PK21u7YzmI
A Hard Day's Night,I'll Be Back,fJSTBNTac6k
Single,I Feel Fine,zPplqOnlXVs
Single,She's a Woman,lQomFaLyQ5I
Beatles for Sale,No Reply,YgFo9STa70E
Beatles for Sale,I'm a Loser,f70Z3cvrQd0
Beatles for Sale,Baby's in Black,TJFpUb7JGYo
Beatles for Sale,Rock and Roll Music,IRF6nmqcbxo
Beatles for Sale,I'll Follow the Sun,28d_A_NuJ7A
Beatles for Sale,Mr. Moonlight,FZQ8nWZJrhA
Beatles for Sale,Kansas City/Hey-Hey-Hey-Hey!,4xvW-Nf9VAw
Beatles for Sale,Eight Days a Week,0soSE-RMH3s
Beatles for Sale,Words of Love,no-nuFTHetE
Beatles for Sale,Honey Don't,XIc-VCw5r0A
Beatles for Sale,Every Little Thing,jrDikOz8YSU
Beatles for Sale,I Don't Want to Spoil the Party,zqVDvLDLsjI
Beatles for Sale,What You're Doing,7Sba2LbhkVY
Beatles for Sale,Everybody's Trying to Be My Baby,wn7FiAdHcmw
Single,Yes It Is,acWj7M0-9rY
Single,Bad Boy,u8hOfWs2Xmw
Single,I'm Down,lOWrScjXMRE
Help!,Help!,MKUex3fci5c
Help!,The Night Before,7tD40D7jk-Q
Help!,You've Got to Hide Your Love Away,V8nLraecPRY
Help!,I Need You,6t24nX_sak8
Help!,Another Girl,EMBYNWr5R_U
Help!,You're Going to Lose That Girl,vqpEZuv29qE
Help!,Ticket to Ride,acxfOgPWUls
Help!,Act Naturally,yjJd8rZPcAQ
Help!,It's Only Love,OPiKDHYCkjs
Help!,You Like Me Too Much,ZqCf3D26YlA
Help!,Tell Me What You See,bztiAcsATyI
Help!,I've Just Seen a Face,m8LbJfC0SYM
Help!,Yesterday,NrgmdOz227I
Help!,Dizzy Miss Lizzy,psJ1cHm_su4
Single,We Can Work It Out,o-0if-ca6CE
Single,Day Tripper,psyg1nPT0g8
Rubber Soul,Drive My Car,kfSQkZuIx84
Rubber Soul,Norwegian Wood (This Bird Has Flown),Y_V6y1ZCg_8
Rubber Soul,You Won't See Me,OsjTO0yZQjk
Rubber Soul,Nowhere Man,8scSwaKbE64
Rubber Soul,Think for Yourself,vtx5NTxebJk
Rubber Soul,The Word,RfBEqiEhCgM
Rubber Soul,Michelle,WoBLi5eE-wY
Rubber Soul,What Goes On,PtC_l4kz7yw
Rubber Soul,Girl,-8l3ntDR_lI
Rubber Soul,I'm Looking Through You,gH6i9JAdJrQ
Rubber Soul,In My Life,YBcdt6DsLQA
Rubber Soul,Wait,qJngWval8Bc
Rubber Soul,If I Needed Someone,Kt5OoWr4v1k
Rubber Soul,Run for Your Life,yzHXtxcIkg4
Single,Paperback Writer,6To1SlRbI2I
Single,Rain,UIBEU7JaxF0
Revolver,Taxman,l0zaebtU-CA
Revolver,Eleanor Rigby,wbxTlxuECJA
Revolver,I'm Only Sleeping,BT5j9OQ7Sh0
Revolver,Love You To,s1X-q7MweIc
Revolver,"Here, There and Everywhere",xdcSFVXd3MU
Revolver,Yellow Submarine,RhoprlMxteE
Revolver,She Said She Said,rLzfo59AdEc
Revolver,Good Day Sunshine,6e01nNA02vw
Revolver,And Your Bird Can Sing,Uq0aeEYLkIE
Revolver,For No One,ELlLIwhvknk
Revolver,Doctor Robert,Tb9L3iAUhc0
Revolver,I Want to Tell You,7kXusIyqQ2o
Revolver,Got to Get You Into My Life,r95-7zfgtLw
Revolver,Tomorrow Never Knows,pHNbHn3i9S4
Single,Strawberry Fields Forever,10LSq_J5ol4
Single,Penny Lane,vfxQ1oDiEJM
Sgt. Pepper's Lonely Hearts Club Band,Sgt. Pepper's Lonely Hearts Club Band,VtXl8xAPAtA
Sgt. Pepper's Lonely Hearts Club Band,With a Little Help From My Friends,0C58ttB2-Qg
Sgt. Pepper's Lonely Hearts Club Band,Lucy in the Sky With Diamonds,naoknj1ebqI
Sgt. Pepper's Lonely Hearts Club Band,Getting Better,EGlo9LzmOME
Sgt. Pepper's Lonely Hearts Club Band,Fixing a Hole,UPBd8eHQqIw
Sgt. Pepper's Lonely Hearts Club Band,She's Leaving Home,VaBPY78D88g
Sgt. Pepper's Lonely Hearts Club Band,Being for the Benefit of Mr. Kite!,bJVWZy4QOy0
Sgt. Pepper's Lonely Hearts Club Band,Within You Without You,HsffxGyY4ck
Sgt. Pepper's Lonely Hearts Club Band,When I'm Sixty-Four,HCTunqv1Xt4
Sgt. Pepper's Lonely Hearts Club Band,Lovely Rita,ysDwR5SIR1Q
Sgt. Pepper's Lonely Hearts Club Band,Good Morning Good Morning,sjb9AxDkwAQ
Sgt. Pepper's Lonely Hearts Club Band,Sgt. Pepper's Lonely Hearts Club Band (Reprise),aP47nqo2cf4
Sgt. Pepper's Lonely Hearts Club Band,A Day in the Life,UYeV7jLBXvA
Single,All You Need Is Love,1A8sOOKianA
Single,Baby You're a Rich Man,i5m-sgtwFck
Single,"Hello, Goodbye",ywZqBGHDTlA
Magical Mystery Tour,Magical Mystery Tour,l8WMGBuNaus
Magical Mystery Tour,Your Mother Should Know,tCXsFjzMKdc
Magical Mystery Tour,I Am the Walrus,t1Jm5epJr10
Magical Mystery Tour,The Fool on the Hill,wsRatIMUSu8
Magical Mystery Tour,Flying,Z1ONJQLdZrk
Magical Mystery Tour,Blue Jay Way,ixmOAb6qzvY
Single,Lady Madonna,D0zaxzr5kQQ
Single,The Inner Light,swT6YTPYwgM
Single,Hey Jude,RhfHed14cNc
Single,Revolution,JZpKhjQh6rw
The Beatles (White Album),Back in the U.S.S.R.,0ArlUSVDQIw
The Beatles (White Album),Dear Prudence,wQA59IkCF5I
The Beatles (White Album),Glass Onion,2tSIZLuCKUI
The Beatles (White Album),"Ob-La-Di, Ob-La-Da",_J9NpHKrKMw
The Beatles (White Album),Wild Honey Pie,l-ekNlk5VDM
The Beatles (White Album),The Continuing Story of Bungalow Bill,J39DC9t0I5o
The Beatles (White Album),While My Guitar Gently Weeps,bI8P6ZSHSvE
The Beatles (White Album),Happiness Is a Warm Gun,vdvnOH060Qg
The Beatles (White Album),Martha My Dear,RXawa90YU2s
The Beatles (White Album),I'm So Tired,7cqHtGb9WYM
The Beatles (White Album),Blackbird,Man4Xw8Xypo
The Beatles (White Album),Piggies,RhY1x8CpWeI
The Beatles (White Album),Rocky Raccoon,sDcDCZGcZj8
The Beatles (White Album),Don't Pass Me By,PTKEiQHHsuk
The Beatles (White Album),Why Don't We Do It in the Road,p4E6KtQg_z0
The Beatles (White Album),I Will,p-abNGP1BK4
The Beatles (White Album),Julia,TZip_br_v3w
The Beatles (White Album),Birthday,dhdOPhTHeoE
The Beatles (White Album),Yer Blues,HEQQ-1rd4A0
The Beatles (White Album),Mother Nature's Son,TMMiXjwhODU
The Beatles (White Album),Everybody's Got Something to Hide Except Me and My Monkey,eyV3zCq1OHM
The Beatles (White Album),Sexy Sadie,tSk5U4oHhu0
The Beatles (White Album),Helter Skelter,vWW2SzoAXMo
The Beatles (White Album),"Long, Long, Long",e9vUCdfwlgw
The Beatles (White Album),Revolution 1,OmsXsIv2Ppw
The Beatles (White Album),Honey Pie,0Sr0efOe8yk
The Beatles (White Album),Savoy Truffle,z9EaBjFvQpc
The Beatles (White Album),Cry Baby Cry,8Zeyej5bfZE
The Beatles (White Album),Good Night,Qp_djIuQ2Cw
Yellow Submarine,Only a Northern Song,vcvd-L73Cqs
Yellow Submarine,All Together Now,73lj5qJbrms
Yellow Submarine,Hey Bulldog,g6DVE305g0s
Yellow Submarine,It's All Too Much,2zc3idF_IZ0
Single,Don't Let Me Down,EyHKuyGsu4U
Single,The Ballad of John and Yoko,LF6qIeCZWHc
Single,Old Brown Shoe,iCV2N--rxBA
Abbey Road,Come Together,oolpPmuK2I8
Abbey Road,Something,VWO3nEuWo4k
Abbey Road,Maxwell's Silver Hammer,mJag19WoAe0
Abbey Road,Oh! Darling,9BznFjbcBVs
Abbey Road,Octopus's Garden,De1LCQvbqV4
Abbey Road,I Want You (She's So Heavy),tAe2Q_LhY8g
Abbey Road,Here Comes the Sun,xUNqsfFUwhY
Abbey Road,Because,hL0tnrl2L_U
Abbey Road,You Never Give Me Your Money,BpndGZ71yww
Abbey Road,Sun King,6bNMxWGHlTI
Abbey Road,Mean Mr. Mustard,oMarHac3VpQ
Abbey Road,Polythene Pam,Cb0dTdTeHMU
Abbey Road,She Came in Through the Bathroom Window,NVv7IzEVf3M
Abbey Road,Golden Slumbers,AcQjM7gV6mI
Abbey Road,Carry That Weight,6B224XDJw6g
Abbey Road,The End,12R4FzIhdoQ
Abbey Road,Her Majesty,Mh1hKt5kQ_4
Single,You Know My Name (Look Up the Number),iZndVv-jl-U
Let It Be,Two of Us,cLQox8e9688
Let It Be,Dig a Pony,LpdJE7HG8Ls
Let It Be,Across the Universe,90M60PzmxEE
Let It Be,I Me Mine,seqaTuXkqFI
Let It Be,Dig It,fUUOX6kAIxI
Let It Be,Let It Be,QDYfEBY9NM4
Let It Be,Maggie Mae,tSn1r9--tq4
Let It Be,I've Got a Feeling,DbKPZd5oihc
Let It Be,One After 909,t8UeWjynWvE
Let It Be,The Long and Winding Road,fR4HjTH_fTM
Let It Be,For You Blue,TIFHRaZERHg
Let It Be,Get Back,IKJqecxswCA
Single,Free as a Bird,6cDHvw8fn2c
Single,Real Love,Y2iDmuoIRl0
Single,Now and Then,AW55J2zE3N4
